Title,Lien,Baseline,Difficulty,Featured,Logo,Typologie,Published,Categorie,opensource,Pratiques,Objectifs projet,Défis,Défis créatifs,Lien d'apprentissage,Qui ?
Mobirise,https://mobirise.com/,,1,checked,Mobirise_Mobirise__Twitter (https://dl.airtable.com/n0wFqcjRQhmbI46afJRI_Mobirise_Mobirise__Twitter),Logiciel,,Sites sans code,,,"Communiquer,Tester",Site fonctionnel ,,,
Quasar,http://quasar-framework.org/,,,,Quasar_Framework_on_Twitter_Got_an_awesome_websiteapp_created_... (https://dl.airtable.com/CgqcEgcpQEKYfA8ukjEu_Quasar_Framework_on_Twitter_Got_an_awesome_websiteapp_created_...),,,Sites sans code,,,"Communiquer,Tester",,,,
Semplice,https://www.semplice.com/,,,,Introducing_the_New_Semplice_Logo (https://dl.airtable.com/GF5HWq2SRy6oX9VaBd1w_Introducing_the_New_Semplice_Logo),Plateforme,,Sites sans code,,,"Communiquer,Tester",Site fonctionnel ,,,
Squarespace ,https://squarespace.com,,,,FileSquarespace_Logo.png_-_Wikimedia_Commons (https://dl.airtable.com/ao4yTuTQOKhREHBVPdl3_FileSquarespace_Logo.png_-_Wikimedia_Commons),Webapp,,Sites sans code,,,"Communiquer,Tester",Site fonctionnel ,,,
Universe,https://itunes.apple.com/us/app/universe-website-builder/id1211437633?mt=8,,,,Universe_App_Review_-_iOS_Apps_-_Web_Builder_App_Review (https://dl.airtable.com/Mhz4CNORiqqeINraFDDN_Universe_App_Review_-_iOS_Apps_-_Web_Builder_App_Review),App,,Sites sans code,,,"Communiquer,Tester",,,,
Webflow,https://webflow.com/,,,,webflow_logo_-_HSNYC_Web_Design (https://dl.airtable.com/VcsVMDQLSsmWOMsLUzHC_webflow_logo_-_HSNYC_Web_Design),Plateforme,,Sites sans code,,,"Communiquer,Tester",Site fonctionnel ,,,
Wordpress,https://wordpress.org,,,,WordPress.com_-_Wikipedia (https://dl.airtable.com/lzKUcLXGQcG0sLlsfDdM_WordPress.com_-_Wikipedia),Plateforme,,Sites sans code,,,"Communiquer,Tester",Site fonctionnel ,,,
Zeroqode,https://zeroqode.com/,,,,Zeroqode_-_1_No-Code_Platform_App_templates_courses_plugins_... (https://dl.airtable.com/NcLcYvLzQny4lnU3WY64_Zeroqode_-_1_No-Code_Platform_App_templates_courses_plugins_...),,,Sites sans code,,,"Communiquer,Tester",,,,
AI generated photos,https://generated.photos/,Bibliothèque de portraits d'utilisateurs entièrement générés par Intelligence Artificielle. Une API permet de l'intégrer facilement à son projet aussi. ,2,,,"Bibliothèque,API",checked,"Image,Sites sans code",,,,,,,
Adobe capture,https://play.google.com/store/apps/details?id=com.adobe.creativeapps.gather&hl=fr,L'app Adobe Capture permet de récupérer les références de couleur d'une photo ou de reconnaitre une police,2,,Adobe_Capture_CC_on_the_App_Store (https://dl.airtable.com/ZoFyXjWDQfi7JMVf3B0Q_Adobe_Capture_CC_on_the_App_Store),"App,Logiciel",checked,Couleur et identité,,Design graphique,,,,,
Cloudflare color palette,https://cloudflare.design/color/,Cette simple webapp permet de voir ensemble différentes compositions de couleurs,1,,Cloudflare_Cloudflare__Twitter (https://dl.airtable.com/.attachments/01aa72991f218a8d0636907ac05a3441/36921704/Cloudflare_Cloudflare__Twitter),Webapp,checked,Couleur et identité,,"UI design,UX design",,,,,
ColorDot,https://color.hailpixel.com/,In-browser color picker. Une grande palette pour choisir la couleur qu'on veut.,1,,Colordot_-_A_color_picker_for_humans (https://dl.airtable.com/UXB6y3OTCMnesiff3kiA_Colordot_-_A_color_picker_for_humans),Webapp,checked,Couleur et identité,,Design graphique,,,,,
Colorhunt,http://colorhunt.co/,Bibliothèque de palettes de couleurs différentes pour ajouter à son projet.,1,,Color_Hunt_-_About (https://dl.airtable.com/1tjUSWjwTFyKdO89i3pq_Color_Hunt_-_About),Webapp,checked,Couleur et identité,,Design graphique,,,,,
Colorzilla,www.colorzilla.com/,Permet de créer rapidement des associations de couleurs pour son projet.,1,,ColorZilla_colorzilla__Twitter (https://dl.airtable.com/kKVGvx8yQCm7AozJtZpJ_ColorZilla_colorzilla__Twitter),Plugin,checked,Couleur et identité,,Design graphique,,,,,
Filtre daltonien,https://www.toptal.com/designers/colorfilter,Application web permettant de vérifier que son site soit lisible par le plus grand nombre de personnes possibles (notamment les daltoniens).,2,,Hire_Freelance_Designers_from_the_Top_3_-_Toptal (https://dl.airtable.com/.attachments/01a240c9aa870dbb828a17e8343b5f31/fbda8c24/Hire_Freelance_Designers_from_the_Top_3_-_Toptal),Webapp,checked,Couleur et identité,,Inclusion,,,,,
Flatuicolors,https://flatuicolors.com/,Bibliothèque propre et efficace de couleurs pour interfaces flat (sans dégradés).,1,,Flat_UI_Colors_flatuicolors__Twitter (https://dl.airtable.com/p6G4lybzTTyem2tYW1Pq_Flat_UI_Colors_flatuicolors__Twitter),Bibliothèque,checked,Couleur et identité,,Design graphique,,,,,
Happy Hues,https://www.happyhues.co/,Ce site très simple permet de tester plusieurs combinaisons de couleurs en situation.,2,,Happy_Hues_-_Evernote.Design (https://dl.airtable.com/.attachments/29089692245d34b287cb9b06ec584305/7b79914d/Happy_Hues_-_Evernote.Design),Bibliothèque,checked,Couleur et identité,,UI design,,,,,
logopony,https://app.logopony.com,"Générateur de logos. On peut choisir la typo et l'icône de notre choix pour faire un logo rapidement. À chaque fois, plusieurs propositions sont faites.",1,,Startup_Minute_-_Tools__Logo_Builders (https://dl.airtable.com/NtXqbizKQzyaXa5PeJiX_Startup_Minute_-_Tools__Logo_Builders),Webapp,checked,Couleur et identité,,Design graphique,,,,,
Patternico,http://patternico.com/,"Patternico permet de créer un motif seamless à utiliser comme background pour un site. (Aussi, possibilité de le faire avec des émojis)",2,,Patternico__Textures__Pinterest (https://dl.airtable.com/ESqi0OdSuGjlWT1Lv7lO_Patternico__Textures__Pinterest),Webapp,checked,Couleur et identité,,Design graphique,,,,,
Subbtle Patterns,http://subtlepatterns.com/,"Bibliothèque de motifs simples. De temps en temps, on a besoin d'un motif discret à mettre en fond de son site. Subtle Patterns est l'outil idéal pour ça.",1,,Subtle_Patterns__Free_textures_for_your_next_web_project__Page_9 (https://dl.airtable.com/TZKwEd6T7qDbVCyyIvZA_Subtle_Patterns__Free_textures_for_your_next_web_project__Page_9),Bibliothèque,checked,Couleur et identité,,Design graphique,,,,,
The Pattern lib,http://thepatternlibrary.com/,"Bibliothèque de beaux motifs, à utiliser comme background pour ses sites. Interface simple et agréable à utiliser.",1,,The_Pattern_Library (https://dl.airtable.com/DkTj1W1ASKqm8rCMldNA_The_Pattern_Library),Bibliothèque,checked,Couleur et identité,,Design graphique,,,,,
Web gradients,https://webgradients.com/,Les gradients sont de nouveau à la mode ! Ce site permet de faire choisir celui qu'il nous faut et de copier-coller facilement le code CSS.,1,,Google_Hosted_Libraries_User_Reviews_2018__Ratings_Reviews_Pros_... (https://dl.airtable.com/1jWwGXiETMS2d8LcpvrX_Google_Hosted_Libraries_User_Reviews_2018__Ratings_Reviews_Pros_...),Bibliothèque,checked,Couleur et identité,,Design graphique,,,,,
Zeplin,https://zeplin.io/,Zeplin permet de produire une charte graphique propre et de la partager avec d'autres clients ou utilisateurs,3,,Zeplin__Slack_App_Directory (https://dl.airtable.com/.attachments/2545c18c47d68c8592a1decbc8dc41aa/4f4c5cdf/Zeplin__Slack_App_Directory),Webapp,checked,Couleur et identité,,"UI design,UX design",,,,,
Machine à badges,,,,,,,,DIY,,,,,Faire un badge,,
Paper folding templates,https://www.templatemaker.nl/,,2,,,"Bibliothèque,Webapp",,DIY,,Maker,,,,,
Bear,http://bear-writer.com,Logiciel simple de prise de notes. Disponible sur plusieurs plateformes en version Premium.,1,,Bear_BearNotesApp__Twitter (https://dl.airtable.com/DOOIF3nBR0eaBM0PgH3Q_Bear_BearNotesApp__Twitter),"App,Logiciel",checked,Écriture et publication,,Storytelling,,,,,
Book Creator ,https://app.bookcreator.com/,L'app permet de faire facilement (et gratuitement) des livres en ePub. Par exemple à travers des ateliers avec des enfants. Marche aussi sur Google Chrome.,2,,Book_Creator_for_iPad_on_the_App_Store (https://dl.airtable.com/mdN3AFZGSrmGOuMlINlD_Book_Creator_for_iPad_on_the_App_Store),App,checked,Écriture et publication,,Storytelling,,,,,
Collabpad,https://collabpad.io,Application d'écriture collaborative. L'interface est propre et hyper intuitive,1,,Collabpad (https://dl.airtable.com/tJCzH0tySqCccvkQ8QHh_Collabpad),Webapp,checked,Écriture et publication,,Storytelling,,Trouver un nom ,,,
Educalingo,https://educalingo.com/fr/dic-fr,"Dictionnaire en ligne qui montre tout ce que les mots cachent. Trouvez des synonymes, des usages, des tendances et beaucoup plus.",1,,educalingo_on_Twitter_Preparados_listos_FIN_DE_SEMANA_http_... (https://dl.airtable.com/2Uu4iuGBQv8D2QVR1xS8_educalingo_on_Twitter_Preparados_listos_FIN_DE_SEMANA_http_...),Webapp,checked,Écriture et publication,,Storytelling,,Trouver un nom ,,,
Etherpad,http://etherpad.org/,Etherpad est un outil d'écriture collaborative. Chacun peut l'installer sur son propre serveur,3,,Etherpad_Foundation_EtherpadOrg__Twitter (https://dl.airtable.com/BxBbH6GUR3OdAkTZxoLb_Etherpad_Foundation_EtherpadOrg__Twitter),Plateforme,checked,Écriture et publication,checked,Storytelling,,Trouver un nom ,,,
Ghost ,https://ghost.org/fr/,CMS moderne et bien fait pour la publication. Open source et très customisable,3,,Ghost_TryGhost__Twitter (https://dl.airtable.com/oM739EXsSdluadO2f6gz_Ghost_TryGhost__Twitter),"Framework,Plateforme",checked,Écriture et publication,checked,Storytelling,,,,,
Grammarly,http://grammarly.com,Plugin qui permet de vérifier les fautes d'orthographe. Il analyse aussi la tonalité du texte (en anglais),2,,Grammarly_Grammarly__Twitter (https://dl.airtable.com/xJVj9qo0SMiKBSHTjKAG_Grammarly_Grammarly__Twitter),"Logiciel,Plugin",checked,Écriture et publication,,Storytelling,,,,,
Hemingway,http://www.hemingwayapp.com/,Application locale ou en ligne qui permet d'écrire de manière simple. Elle analyse aussi le niveau d'écriture et les erreurs potentielles (en anglais) ,2,,Hemingway_App_HemingwayApp__Twitter (https://dl.airtable.com/.attachments/05df4fcc8be016ae36b8a2e7fc3259af/65dd0459),"Logiciel,Webapp",checked,Écriture et publication,,Storytelling,,,,,
Linguee,http://linguee.fr/,Linguee permet de trouver des traductions à différentes expressions en comparant la manière dont les contenus sont traduits sur différents sites.,1,,Linguee_on_Twitter_DeepL_Translator_is_now_live_and_available_to_... (https://dl.airtable.com/.attachments/b9200b5b36bcb9c4b3317fcb97778858/75e4b866/Linguee_on_Twitter_DeepL_Translator_is_now_live_and_available_to_...),Webapp,checked,Écriture et publication,,,,,,,
Madmagz,https://madmagz.com/,Plateforme de création de PDFs en ligne. La version gratuite permet de faire des versions web,2,,Madmagz_on_Twitter__Coupe_du_monde_de_foot_madmagz__il_y_a_... (https://dl.airtable.com/cxeBS8OuT2mzUk70W63S_Madmagz_on_Twitter__Coupe_du_monde_de_foot_madmagz__il_y_a_...),Plateforme,checked,Écriture et publication,,Storytelling,,,,,
Medium,https://medium.com,"Très simple à utiliser, Medium est devenu la référence dans la publication type 'blog'. La plupart des grandes organisations y ont un compte. Fonctionnalités sociales intéressantes.",1,,Thoughts_on_Medium__NewCo_Shift__Medium (https://dl.airtable.com/xeU9xiRYSeyH2JcWnjs4_Thoughts_on_Medium__NewCo_Shift__Medium),Plateforme,checked,Écriture et publication,,Storytelling,Communiquer,,,,
Rimes solides,http://rimessolides.com,"Dictionnaire pour trouver des rimes. L'interface pourrait être plus agréable, mais globalement, elle fonctionne bien",2,,Media_Tweets_by_Rimes_Solides_RimesSolides__Twitter (https://dl.airtable.com/.attachments/89a0ab57a16628617178cde9c37d5d35/654fa28e),Bibliothèque,checked,Écriture et publication,,Storytelling,,Trouver un nom ,,,
Sideways dictionary,https://sidewaysdictionary.com/,Sideways est un dictionnaire qui explique plusieurs concepts technologiques à travers de métaphores (en anglais),1,,Sideways_Dictionary_-_Sideways_Dictionary_-_NOMINT (https://dl.airtable.com/kQA1oz7T6Sd4tWKq6dZK_Sideways_Dictionary_-_Sideways_Dictionary_-_NOMINT),Bibliothèque,checked,Écriture et publication,,Storytelling,,Trouver un nom ,,,
Simul,https://www.simuldocs.com/,Simul est un système de versioning pour Word. On peut donc collaborer et suivre les différentes versions d'un document,3,,Simul_Documents_-_Version_Control_for_Microsoft_Word_Reviews_2020_... (https://dl.airtable.com/.attachments/f591428fab308eaa861cac5b7cbefab8/b5564bb8/Simul_Documents_-_Version_Control_for_Microsoft_Word_Reviews_2020_...),Logiciel,checked,Écriture et publication,,Storytelling,,,,,
Substack,https://substack.com/,Système simplifié de publication de newsletter. Possibilité de faire des versions avec abonnement,2,,Substack (https://dl.airtable.com/.attachments/5d8d1a239a0cbb5290492448719f11b4/9b64409e/Substack),Plateforme,checked,Écriture et publication,,Storytelling,Communiquer,,,,
Thesaurus (en),http://www.thesaurus.com/,Dictionnaire thématique. Il y trouve aussi des synonymes. Incontournable quand on tente de trouver un nom pour son projet (en anglais),1,,Thesaurus__Logopedia__FANDOM_powered_by_Wikia (https://dl.airtable.com/.attachments/df64bce02da37fba4be24359c0549455/f5707af8/Thesaurus__Logopedia__FANDOM_powered_by_Wikia),Bibliothèque,checked,Écriture et publication,,Storytelling,,Trouver un nom ,,,
Tinyletter,http://tinyletter.com,Système de publication simple de newsletters,2,,TinyLetter_tinyletter__Twitter (https://dl.airtable.com/.attachments/856545db40dbcc18068f3e2a75e16017/d91fb3a8),Plateforme,checked,Écriture et publication,,Storytelling,Communiquer,,,,
Urban dictionary ,http://urbandictionary.com,Urban Dictionary est un dictionnaire collaboratif d'argot (en anglais),1,,Urban_Dictionary__Latest_News_Images_and_Photos__CrypticImages (https://dl.airtable.com/tCgX7T2DRYaeOqa1aztt_Urban_Dictionary__Latest_News_Images_and_Photos__CrypticImages),Bibliothèque,checked,Écriture et publication,,Storytelling,,Trouver un nom ,,,
Wordpress.com,http://wordpress.com,Wordpress.com est la plateforme de publication basée sur Wordpress. Permet de déployer un site rapidement,2,,WordPress.com_-_Wikipedia (https://dl.airtable.com/5OpKKJ5TDSj0QtVxlmXO_WordPress.com_-_Wikipedia),Plateforme,checked,Écriture et publication,checked,Storytelling,Communiquer,,,,
Workflowy,https://workflowy.com,Workflowy est un outil de liste simple à utiliser. Les listes peuvent s'indenter,1,,WorkFlowy__Organize_your_brain. (https://dl.airtable.com/KAprsOmRPGK0fCfkU61C_WorkFlowy__Organize_your_brain.),App,checked,Écriture et publication,,Storytelling,Concevoir,Trouver un nom ,,,
Zotero,https://www.zotero.org/,Zotrero est le plugin de référence pour faire de la bibliographie. Incontournable pour faire de la veille de manière scientifique,2,,Zotero_zotero__Twitter (https://dl.airtable.com/OVvL7wVPQAqThttzAgne_Zotero_zotero__Twitter),"Logiciel,Plugin",checked,Écriture et publication,,Storytelling,,,,,
Kahoot ,https://kahoot.com/,Plateforme de création de quiz pour supporter des programmes d'apprentissage. Permet de récolter les réponses en temps réel. S'utilise sans compte pour les participants.,3,checked,Kahoot__Kokoa_Standard__Discover_the_best_apps_for_education_and_... (https://dl.airtable.com/RStb4mg2S4qivSFm4zQK_Kahoot__Kokoa_Standard__Discover_the_best_apps_for_education_and_...),Plateforme,checked,Facilitation et animation,,Facilitation,,,Produire un quiz sur un sujet,,
Kalxoon ,https://klaxoon.com/,Une série de produits pour animer vos réunions et ateliers. Du brainstorm à la récolte du feedback. Développé en France.,3,,Klaxoon_-_The_Meeting_Revolution_-_Join_your_Team (https://dl.airtable.com/CROMCifPR9CiXCCFtNEg_Klaxoon_-_The_Meeting_Revolution_-_Join_your_Team),"Plateforme,IOT",checked,Facilitation et animation,,Facilitation,,,,,
Magency Box ,https://www.magency.me/magency-box,Solution d'animation et d'interaction pour formations et évènements.,3,,Magency__Magency (https://dl.airtable.com/UbIR6SkTVyCp0yMDNK8g_Magency__Magency),"IOT,Plateforme",checked,Facilitation et animation,,Facilitation,,,,,
Makestorming,http://makestorming.com/outils/freemium,Bibliothèque d'outils créés par nod-A pour brainstormer ou prototyper en atelier,1,,Makestorming_on_Twitter_Our_insights_from_C2Montreal_How_to_... (https://dl.airtable.com/qGACk4fAQp6i9MwxrrWA_Makestorming_on_Twitter_Our_insights_from_C2Montreal_How_to_...),Bibliothèque,checked,Facilitation et animation,,Facilitation,,,,,
Mentimeter,http://mentimeter.com,Outil de sondage de son audience en temps réel. Chacun peut répondre de son téléphone et les résultats apparaissent à l'écran directement,2,,Mentimeter_-_Wikipedia (https://dl.airtable.com/.attachments/ef810126899480bf4741b5f6e17a2e56/116cb196/Mentimeter_-_Wikipedia),"Plateforme,Webapp",checked,Facilitation et animation,,Facilitation,,,,,
Micro Dé,https://catchbox.com/,Micro à lancer. Pratique pour faire des événements où la parole est distribuée. On peut même le lancer,1,,Engagement_microphone__Catchbox (https://dl.airtable.com/.attachments/1c976b71c59829fa184927b3dcc1deb5/6ed5ddbb/Engagement_microphone__Catchbox),Hardware,checked,Facilitation et animation,,Facilitation,,,,,
SessionLab,http://get.sessionlab.com/,Session Lab est un outil de création de déroulés. On peut y définir un enchainement de modules. On y trouve aussi toute une bibliothèque d'activités,4,,SessionLab_SessionLab__Twitter (https://dl.airtable.com/7Tbv5KnmS8Ow6j7we4AO_SessionLab_SessionLab__Twitter),"Plateforme,Bibliothèque",checked,Facilitation et animation,,Facilitation,,,,,
Slido,https://www.sli.do/,Slido permet d'envoyer un questionnaire aux participants d'un événement et de récupérer les réponses en temps réel,2,,Slido_Slidoapp__Twitter (https://dl.airtable.com/JPwS7uJRVWCzR825Hr83_Slido_Slidoapp__Twitter),Plateforme,checked,Facilitation et animation,,Facilitation,,,,,
Stormz,https://stormz.me/,"Stormz permet d'animer des réunions ou des ateliers. On peut concevoir et faciliter des sessions en intelligence collective : brainstorming, prise de décision, design thinking, World Café... En présentiel ou à distance.",3,,Stormz__Crunchbase (https://dl.airtable.com/Kmuos2r0SgWsfhT2b7Tg_Stormz__Crunchbase),Plateforme,checked,Facilitation et animation,,Facilitation,,,,,
Timer tab,http://www.timer-tab.com/,"Très simplement, un chronomètre qui apparait en tab. Pratique pour timer une intervention par exemple",1,,Timer_icon (https://dl.airtable.com/G5z0KXlvSqOj37tD6xGc_Timer_icon),Webapp,checked,Facilitation et animation,,Facilitation,,,,,
Tricider,https://www.tricider.com/,Tricider est le Doodle des idées. On publie une question et les gens peuvent ensuite proposer des réponses et voter pour leurs réponses préférées,1,,StephNico_Founder_tricider__Twitter (https://dl.airtable.com/XQgvEiRTeeUqFyrD19WQ_StephNico_Founder_tricider__Twitter),Webapp,checked,Facilitation et animation,,Facilitation,Décider,,Trouver un nom à un projet,,
Triggers cards ,https://www.trytriggers.com/,Sets de cartes d'inspiration autour de plusieurs thèmes,2,,Human-Centric_Deck__Triggers (https://dl.airtable.com/.attachments/8d1a378e0828ef06257ebcb201a2d831/40f65863/Human-Centric_Deck__Triggers),Hardware,checked,Facilitation et animation,,,,,,,
Wisembly,https://wisembly.com/,"Wisembly et Jam sont deux applications pour développer l’interactivité et la productivité sur tous vos formats de réunion : séminaires, réunions d’équipes, ateliers, etc.",2,,Wisembly_on_Twitter_We_support_the_hackerpledge_to_provide_a_... (https://dl.airtable.com/B7BhCC0WQ8esBaVE8yFN_Wisembly_on_Twitter_We_support_the_hackerpledge_to_provide_a_...),Plateforme,checked,Facilitation et animation,,Facilitation,,,,,
Yellow,http://getyellow.io,"Yellow est une solution logicielle permettant de numériser les activités de brainstorming, de créativité, d’aide à la décision et de gestion de projets reposant sur la notion de « visual management »",2,,Yellow_on_Twitter_En_direct__suivez_linterview_de_notre_CEO_... (https://dl.airtable.com/kauDVJYMSlagJAZeEyXq_Yellow_on_Twitter_En_direct__suivez_linterview_de_notre_CEO_...),Plateforme,checked,Facilitation et animation,,Facilitation,,,,,
Canny,http://canny.io,,,,Canny_Customer_Feedback_Management_Tool (https://dl.airtable.com/.attachments/ef3672e418e643e14e28ad721d848c97/9449f227),,,Feedback,,,,,,,
Cuture Amp ,,,,,Culture_Amp_Reviews_2018__G2_Crowd (https://dl.airtable.com/.attachments/600edd28b85ca73b8b7b8a2138e87e72/78cfe9df),,,Feedback,,,,,,,
Intercom,,,,,Intercom__Slack_App_Directory (https://dl.airtable.com/OYhXlX2SSEecTF6A6h62_Intercom__Slack_App_Directory),"App,Plateforme",,Feedback,,,,,,,
Kayako,,,,,Kayako_Classic_on_the_App_Store (https://dl.airtable.com/J4u12GqzSe6lHjlYExyq_Kayako_Classic_on_the_App_Store),,,Feedback,,,,,,,
Zendesk,https://www.zendesk.fr/,,4,,Zendesk__Customer_Service_Software__Support_Ticket_System (https://dl.airtable.com/eLOFLYyCRyCjuZF3bmgP_Zendesk__Customer_Service_Software__Support_Ticket_System),"Plateforme,App",,Feedback,,,,,,,
Asana ,http://asana.com,,,,Asana_Review__2019_Pricing_Features_Shortcomings (https://dl.airtable.com/pi8mKD5kSmeQMSGQYbjr_Asana_Review__2019_Pricing_Features_Shortcomings),"App,Plateforme",,Gestion de projet ,,,S'organiser,,,,
Basecamp ,,,,,Basecamp_basecamp__Twitter (https://dl.airtable.com/SFCniIkQIyDjhh7rkdmB_Basecamp_basecamp__Twitter),"App,Plateforme",,Gestion de projet ,,,S'organiser,,,,
Choix d'un mode de décision ,https://howdowedecide.com/start,,,,,Webapp,,Gestion de projet ,,,"S'organiser,Décider",,,,
Loomio,https://www.loomio.org/,,,,Loomio_Loomio__Twitter (https://dl.airtable.com/u6MqMCOSkGGmt37hTMrw_Loomio_Loomio__Twitter),"App,Plateforme",,Gestion de projet ,,,"S'organiser,Décider",,,,
Odoo,https://www.odoo.com,,,,Odoo_Odoo__Twitter (https://dl.airtable.com/.attachments/cfd0e015275e879a0e2ae7b4dd60af3e/4e447aa0/Odoo_Odoo__Twitter),,,Gestion de projet ,,,,,,,
Teem,http://teem.works,,,,Teem_Blog__Follow_Updates_About_the_Modern_Workspace_and_Design (https://dl.airtable.com/Vxm4DVdTKeZgDsmDZkAr_Teem_Blog__Follow_Updates_About_the_Modern_Workspace_and_Design),Plateforme,,Gestion de projet ,,,S'organiser,,,,
Trello ,http://trello.com,,,,Trello_logo_vector (https://dl.airtable.com/LsWWOdqwRZuhPVMrSJ1n_Trello_logo_vector),"App,Plateforme",,Gestion de projet ,,,S'organiser,,,,
Absurd design,https://absurd.design/,Bibliothèque d'images d'illustration abstraites qui changent des stéréotypes habituels. Peuvent aussi être utilisées pour du photo-langage (à la Dixit) ,1,,Absurd_Design_-_bookmarks.design (https://dl.airtable.com/.attachments/34937d798742fb9c1be2ead3176e9f20/1ace74b0/Absurd_Design_-_bookmarks.design),Bibliothèque,checked,Image,,Design graphique,Communiquer,Landing page,,,
Affinity photo ,https://affinity.serif.com/fr/photo/,"Logiciel de retouche photo. À seulement 55€, Affinity photo est une alternative sérieuse à Photoshop. Seulement sur Mac.",3,,Affinity_Photo_on_the_Mac_App_Store (https://dl.airtable.com/EdjW0yYsREyhg7G5kfh0_Affinity_Photo_on_the_Mac_App_Store),"Logiciel,App",checked,Image,,Design graphique,Communiquer,"Product collage,Image d'illustration",,,
Canva,https://www.canva.com/,"Outil de design graphique en ligne. Canva permet de concevoir une grande variété d'objets graphiques, de la composition d'affiches à des infographies. Des templates permettent de gagner beaucoup de temps (notamment pour des Pitchdecks).",2,checked,Canva_Team__Medium (https://dl.airtable.com/D7eQl3rITQKkjadJWKAW_Canva_Team__Medium),"App,Plateforme,Template(s)",checked,Image,,Design graphique,Communiquer,"Product collage,Image d'illustration,Infographie",Inspiration poster ,,
Chrome Canvas,https://canvas.apps.chrome/,Outil de dessin en ligne in-browser simple à prendre en main,1,,Googles_Chrome_Canvas_is_a_handy_browser_app_for_quick_doodles_... (https://dl.airtable.com/.attachments/9dd29a8a76449db63b03a25b547dd0b8/48a215e4/Googles_Chrome_Canvas_is_a_handy_browser_app_for_quick_doodles_...),Webapp,checked,Image,,Design graphique,Communiquer,,,,
Favicon.io,https://favicon.io/,Outil en ligne qui permet de générer tous les favicons qui conviennent aux différents formats de devices,2,,The_best_Favicon_Generator_completely_free__Favicon.io (https://dl.airtable.com/.attachments/0e1fbf5fe169363e5d636b8c56bc8254/0c47b5a7/The_best_Favicon_Generator_completely_free__Favicon.io),Webapp,checked,Image,,,,,,,
Genially,https://www.genial.ly/,"Permet de donner 'vie' à des contenus en faisant des 'expériences de communication' (Présentations, Infographies, Dossiers, Vidéos-Présentations, ePosters, CVs, Quiz, etc.)",1,,Genially_on_Twitter_Not_sure_how_to_level_up_with_genially_Try_... (https://dl.airtable.com/KZQvREnvSEikKYLYO4Pr_Genially_on_Twitter_Not_sure_how_to_level_up_with_genially_Try_...),Plateforme,checked,Image,,Design graphique,Communiquer,Product collage,,,
Giphy ,http://giphy.com,"Super bibliothèque de GIFs animés. Permet aussi, à travers plusieurs webapps de créer ses propres GIFs à partir d'une vidéo ou d'une série de photos, ou encore de customiser des GIFs existants.",2,checked,GIPHY_GIPHY__Twitter (https://dl.airtable.com/cxYZSiJ1Qx2G23v86vrd_GIPHY_GIPHY__Twitter),"App,Plateforme,Webapp",checked,Image,,Design graphique,Communiquer,,GIF animé,,
GoMoodboards ,http://www.gomoodboard.com/,Outil en ligne de création de moodboards très simple d'utilisation (même pas besoin de créer un compte).,1,checked,Moodboard_gomoodboard__Twitter (https://dl.airtable.com/.attachments/4ccae4616953e32a61e286164ae7b765/11851def/Moodboard_gomoodboard__Twitter),Webapp,checked,Image,,Design graphique,Communiquer,Moodboards,,,
I love image,https://www.iloveimg.com/fr,Série d'outils gratuits de retouche d'image de base 100% en ligne.,1,,iloveimg_iloveimg_com__Twitter (https://dl.airtable.com/bZx0O4pVRimaA3xiDUCX_iloveimg_iloveimg_com__Twitter),Webapp,checked,Image,,Design graphique,Communiquer,,,,
Icograms,https://icograms.com/,Icograms permet de produire des images de villes en vue isométrique. L'éditeur en ligne est assez riche,2,,Capture d’écran 2020-01-30 à 16_08_36.png (https://dl.airtable.com/.attachments/fe75f2130a80ef5a2bbb6126031fc233/71f93afe/Capturedecran2020-01-30a16_08_36.png),Webapp,checked,Image,,Design graphique,Communiquer,,,,
Image Marker ,https://www.imagemarker.com/index_en.html,,,,ImageMarker.addText_got_14_arguments_expected_13__Issue_41_... (https://dl.airtable.com/.attachments/18b4d7e0d7c22b9eaa3010f30bf50d14/4caa0ae3/ImageMarker.addText_got_14_arguments_expected_13__Issue_41_...),,,Image,,Design graphique,Communiquer,,,,
Imgur,https://imgur.com/,Plateforme de partage d'images. On peut publier des images gratuitement et sans avoir à se faire de compte.,1,,Imgur_imgur__Twitter (https://dl.airtable.com/.attachments/66261ed4b4c268fca68246b58d290591/65e68e6a),"Webapp,Plateforme,API",checked,Image,,Design graphique,Communiquer,,,,
Interactive Img,https://interactive-img.com/,,1,,,,,Image,,Design graphique,Communiquer,,,,
Krita,https://krita.org/en/,"Logiciel de 'digital painting' gratuit et open source, permet de faire tous types d'illustration.",2,,FileKrita_Application_Logo.svg_-_Wikimedia_Commons (https://dl.airtable.com/ToKWFzSZTACANHigfmlB_FileKrita_Application_Logo.svg_-_Wikimedia_Commons),Logiciel,checked,Image,,Design graphique,Communiquer,,,,
Logo crunch,https://brandmark.io/logo-crunch/,Outil en ligne qui permet de simplifier un logo pour générer des favicons qui correspondent aux différentes tailles de devices,2,,,Webapp,checked,Image,,,,,,,
Make 8-Bit Art,https://make8bitart.com/,Outil en ligne très simple pour dessin pixel-art in browser.,2,,make_8-bit_art (https://dl.airtable.com/sQU1EgMRAuBSv47rWQJe_make_8-bit_art),Webapp,checked,Image,,Design graphique,Communiquer,,,,
